Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,Leaf1,Ethernet1,spine,Spine1,Ethernet1,True
l3leaf,Leaf1,Ethernet2,spine,Spine2,Ethernet1,True
l3leaf,Leaf1,Ethernet10,mlag_peer,Leaf2,Ethernet10,True
l3leaf,Leaf1,Ethernet11,mlag_peer,Leaf2,Ethernet11,True
l3leaf,Leaf1,Ethernet19,server,host1,Eth1,True
l3leaf,Leaf2,Ethernet1,spine,Spine1,Ethernet2,True
l3leaf,Leaf2,Ethernet2,spine,Spine2,Ethernet2,True
l3leaf,Leaf2,Ethernet10,mlag_peer,Leaf1,Ethernet10,True
l3leaf,Leaf2,Ethernet11,mlag_peer,Leaf1,Ethernet11,True
l3leaf,Leaf2,Ethernet20,server,host1,Eth2,True
l3leaf,Leaf3,Ethernet1,spine,Spine1,Ethernet3,True
l3leaf,Leaf3,Ethernet2,spine,Spine2,Ethernet3,True
l3leaf,Leaf3,Ethernet19,server,host2,Eth1,True
l3leaf,Leaf4,Ethernet1,spine,Spine1,Ethernet4,True
l3leaf,Leaf4,Ethernet2,spine,Spine2,Ethernet4,True
l3leaf,Leaf4,Ethernet20,server,host2,Eth2,True
spine,Spine1,Ethernet1,l3leaf,Leaf1,Ethernet1,True
spine,Spine1,Ethernet2,l3leaf,Leaf2,Ethernet1,True
spine,Spine1,Ethernet3,l3leaf,Leaf3,Ethernet1,True
spine,Spine1,Ethernet4,l3leaf,Leaf4,Ethernet1,True
spine,Spine2,Ethernet1,l3leaf,Leaf1,Ethernet2,True
spine,Spine2,Ethernet2,l3leaf,Leaf2,Ethernet2,True
spine,Spine2,Ethernet3,l3leaf,Leaf3,Ethernet2,True
spine,Spine2,Ethernet4,l3leaf,Leaf4,Ethernet2,True
